I'm sorry, but errors were detected in your script. Please correct the
errors listed below, and try again.


File "game/scenario/salles/4_1.rpy", line 10: Line with id 5c68d665 appears twice. The other line is game/scenario/salles/4_0.rpy:10

File "game/scenario/salles/4_1.rpy", line 12: Line with id ba9cfa6f appears twice. The other line is game/scenario/salles/4_0.rpy:12

File "game/scenario/salles/4_1.rpy", line 14: Line with id 9878218d appears twice. The other line is game/scenario/salles/4_0.rpy:14

File "game/scenario/salles/4_1.rpy", line 15: Line with id 8bc5ec59 appears twice. The other line is game/scenario/salles/4_0.rpy:15

File "game/scenario/salles/4_1.rpy", line 16: Line with id 42899945 appears twice. The other line is game/scenario/salles/4_0.rpy:16

File "game/scenario/salles/4_1.rpy", line 17: Line with id 449dc7b0 appears twice. The other line is game/scenario/salles/4_0.rpy:17

File "game/scenario/salles/4_1.rpy", line 20: Line with id 4eae85d4 appears twice. The other line is game/scenario/salles/4_0.rpy:20

File "game/scenario/salles/4_1.rpy", line 21: Line with id c3b18ee9 appears twice. The other line is game/scenario/salles/4_0.rpy:21

File "game/scenario/salles/4_1.rpy", line 23: Line with id 4c657418 appears twice. The other line is game/scenario/salles/4_0.rpy:23

File "game/scenario/salles/4_1.rpy", line 24: Line with id 477027e8 appears twice. The other line is game/scenario/salles/4_0.rpy:24

File "game/scenario/salles/4_1.rpy", line 26: Line with id 9995155d appears twice. The other line is game/scenario/salles/4_0.rpy:26

File "game/scenario/salles/4_1.rpy", line 27: Line with id edecfc82 appears twice. The other line is game/scenario/salles/4_0.rpy:27

File "game/scenario/salles/4_1.rpy", line 30: Line with id 2e37d8e1 appears twice. The other line is game/scenario/salles/4_0.rpy:30

File "game/scenario/salles/4_1.rpy", line 31: Line with id 8e247b26 appears twice. The other line is game/scenario/salles/4_0.rpy:31

File "game/scenario/salles/4_1.rpy", line 32: Line with id 511bd847 appears twice. The other line is game/scenario/salles/4_0.rpy:32

File "game/scenario/salles/4_1.rpy", line 34: Line with id cafa7e4c appears twice. The other line is game/scenario/salles/4_0.rpy:34

File "game/scenario/salles/4_1.rpy", line 35: Line with id 743eb56f appears twice. The other line is game/scenario/salles/4_0.rpy:35

File "game/scenario/salles/4_1.rpy", line 36: Line with id 943ab3ea appears twice. The other line is game/scenario/salles/4_0.rpy:36

File "game/scenario/salles/4_1.rpy", line 37: Line with id 1b143f8e appears twice. The other line is game/scenario/salles/4_0.rpy:37

File "game/scenario/salles/4_1.rpy", line 38: Line with id 32c3e03c appears twice. The other line is game/scenario/salles/4_0.rpy:38

File "game/scenario/salles/4_1.rpy", line 40: Line with id 03f76f90 appears twice. The other line is game/scenario/salles/4_0.rpy:40

File "game/scenario/salles/4_1.rpy", line 41: Line with id 229e3aa9 appears twice. The other line is game/scenario/salles/4_0.rpy:41

File "game/scenario/salles/4_1.rpy", line 42: Line with id 7e65c48f appears twice. The other line is game/scenario/salles/4_0.rpy:42

File "game/scenario/salles/4_1.rpy", line 43: Line with id 081bb0f9 appears twice. The other line is game/scenario/salles/4_0.rpy:43

File "game/scenario/salles/4_1.rpy", line 44: Line with id 93afb1ea appears twice. The other line is game/scenario/salles/4_0.rpy:44

File "game/scenario/salles/4_1.rpy", line 48: Line with id 562a5779 appears twice. The other line is game/scenario/salles/4_0.rpy:48

File "game/scenario/salles/4_1.rpy", line 49: Line with id cd18cfbe appears twice. The other line is game/scenario/salles/4_0.rpy:49

File "game/scenario/salles/4_1.rpy", line 50: Line with id 20ebe10d appears twice. The other line is game/scenario/salles/4_0.rpy:50

File "game/scenario/salles/4_1.rpy", line 51: Line with id d9a946ed appears twice. The other line is game/scenario/salles/4_0.rpy:51

File "game/scenario/salles/4_1.rpy", line 54: Line with id 7079ed75 appears twice. The other line is game/scenario/salles/4_0.rpy:54

File "game/scenario/salles/4_1.rpy", line 55: Line with id 4348a34e appears twice. The other line is game/scenario/salles/4_0.rpy:55

File "game/scenario/salles/4_1.rpy", line 62: Line with id c4d5dd1a appears twice. The other line is game/scenario/salles/4_0.rpy:62

File "game/scenario/salles/4_1.rpy", line 63: Line with id 3c6f617e appears twice. The other line is game/scenario/salles/4_0.rpy:63

File "game/scenario/salles/4_1.rpy", line 66: Line with id fcdc351a appears twice. The other line is game/scenario/salles/4_0.rpy:66

File "game/scenario/salles/4_1.rpy", line 67: Line with id 5b4ea7b9 appears twice. The other line is game/scenario/salles/4_0.rpy:67

File "game/scenario/salles/4_1.rpy", line 68: Line with id ab201850 appears twice. The other line is game/scenario/salles/4_0.rpy:68

File "game/scenario/salles/4_1.rpy", line 69: Line with id 1113691f appears twice. The other line is game/scenario/salles/4_0.rpy:69

File "game/scenario/salles/4_1.rpy", line 70: Line with id 6d5445e7 appears twice. The other line is game/scenario/salles/4_0.rpy:70

File "game/scenario/salles/4_1.rpy", line 71: Line with id 2fbd45d1 appears twice. The other line is game/scenario/salles/4_0.rpy:71

File "game/scenario/salles/4_1.rpy", line 72: Line with id 12d85dd1 appears twice. The other line is game/scenario/salles/4_0.rpy:72

File "game/scenario/salles/4_1.rpy", line 75: Line with id f0e032c5 appears twice. The other line is game/scenario/salles/4_0.rpy:75

File "game/scenario/salles/4_1.rpy", line 76: Line with id 64a00fb8 appears twice. The other line is game/scenario/salles/4_0.rpy:76

File "game/scenario/salles/4_1.rpy", line 81: Line with id 658f7fbc appears twice. The other line is game/scenario/salles/4_0.rpy:81

File "game/scenario/salles/4_1.rpy", line 82: Line with id f70d391c appears twice. The other line is game/scenario/salles/4_0.rpy:82

File "game/scenario/salles/4_1.rpy", line 83: Line with id 8b72b993 appears twice. The other line is game/scenario/salles/4_0.rpy:83

File "game/scenario/salles/4_1.rpy", line 84: Line with id b49bdf2b appears twice. The other line is game/scenario/salles/4_0.rpy:84

File "game/scenario/salles/4_1.rpy", line 85: Line with id 9c7b7536 appears twice. The other line is game/scenario/salles/4_0.rpy:85

File "game/scenario/salles/4_1.rpy", line 90: Line with id f002be5c appears twice. The other line is game/scenario/salles/4_0.rpy:90

File "game/scenario/salles/4_1.rpy", line 91: Line with id 2f425846 appears twice. The other line is game/scenario/salles/4_0.rpy:91

File "game/scenario/salles/4_1.rpy", line 92: Line with id 598d3987 appears twice. The other line is game/scenario/salles/4_0.rpy:92

File "game/scenario/salles/4_1.rpy", line 94: Line with id aa65af84 appears twice. The other line is game/scenario/salles/4_0.rpy:94

File "game/scenario/salles/4_1.rpy", line 95: Line with id 5d3b0cf6 appears twice. The other line is game/scenario/salles/4_0.rpy:95

File "game/scenario/salles/4_1.rpy", line 96: Line with id 154e8618 appears twice. The other line is game/scenario/salles/4_0.rpy:96

File "game/scenario/salles/4_1.rpy", line 98: Line with id cd5e31d7 appears twice. The other line is game/scenario/salles/4_0.rpy:98

File "game/scenario/salles/4_1.rpy", line 99: Line with id 6c23aada appears twice. The other line is game/scenario/salles/4_0.rpy:99

File "game/scenario/salles/4_1.rpy", line 113: Line with id 43a7c392 appears twice. The other line is game/scenario/salles/4_0.rpy:113

File "game/scenario/salles/4_1.rpy", line 114: Line with id 24feaf34 appears twice. The other line is game/scenario/salles/4_0.rpy:114

File "game/scenario/salles/4_1.rpy", line 116: Line with id b82c52f5 appears twice. The other line is game/scenario/salles/4_0.rpy:116

File "game/scenario/salles/4_1.rpy", line 118: Line with id 01a04f95 appears twice. The other line is game/scenario/salles/4_0.rpy:118

File "game/scenario/salles/4_1.rpy", line 120: Line with id b28949ff appears twice. The other line is game/scenario/salles/4_0.rpy:120

File "game/scenario/salles/4_1.rpy", line 121: Line with id e822895d appears twice. The other line is game/scenario/salles/4_0.rpy:121

File "game/scenario/salles/4_1.rpy", line 122: Line with id 25b37a83 appears twice. The other line is game/scenario/salles/4_0.rpy:122

File "game/scenario/salles/4_1.rpy", line 125: Line with id 3e808d61 appears twice. The other line is game/scenario/salles/4_0.rpy:125

File "game/scenario/salles/4_1.rpy", line 126: Line with id 450504b7 appears twice. The other line is game/scenario/salles/4_0.rpy:126

File "game/scenario/salles/4_1.rpy", line 129: Line with id 7c9c37df appears twice. The other line is game/scenario/salles/4_0.rpy:129

File "game/scenario/salles/4_1.rpy", line 130: Line with id d04f68c5 appears twice. The other line is game/scenario/salles/4_0.rpy:130

File "game/scenario/salles/4_1.rpy", line 131: Line with id 0c472055 appears twice. The other line is game/scenario/salles/4_0.rpy:131

File "game/scenario/salles/4_1.rpy", line 134: Line with id ccce01f7 appears twice. The other line is game/scenario/salles/4_0.rpy:134

File "game/scenario/salles/4_1.rpy", line 135: Line with id 2844f656 appears twice. The other line is game/scenario/salles/4_0.rpy:135

File "game/scenario/salles/4_1.rpy", line 139: Line with id 85cde780 appears twice. The other line is game/scenario/salles/4_0.rpy:139

File "game/scenario/salles/4_1.rpy", line 140: Line with id 0fba70f8 appears twice. The other line is game/scenario/salles/4_0.rpy:140

File "game/scenario/salles/4_1.rpy", line 141: Line with id db7ba040 appears twice. The other line is game/scenario/salles/4_0.rpy:141

File "game/scenario/salles/4_1.rpy", line 145: Line with id 1ba16bf8 appears twice. The other line is game/scenario/salles/4_0.rpy:145

File "game/scenario/salles/4_1.rpy", line 149: Line with id e30c1bf7 appears twice. The other line is game/scenario/salles/4_0.rpy:149

File "game/scenario/salles/4_1.rpy", line 150: Line with id 5447ae40 appears twice. The other line is game/scenario/salles/4_0.rpy:150

File "game/scenario/salles/4_1.rpy", line 151: Line with id 5ba8d2f7 appears twice. The other line is game/scenario/salles/4_0.rpy:151

File "game/scenario/salles/4_1.rpy", line 155: Line with id 6235cef0 appears twice. The other line is game/scenario/salles/4_0.rpy:155

File "game/scenario/salles/4_1.rpy", line 156: Line with id 9aeb62cc appears twice. The other line is game/scenario/salles/4_0.rpy:156

File "game/scenario/salles/4_1.rpy", line 157: Line with id 34217d75 appears twice. The other line is game/scenario/salles/4_0.rpy:157

File "game/scenario/salles/4_1.rpy", line 161: Line with id d08b4127 appears twice. The other line is game/scenario/salles/4_0.rpy:161

File "game/scenario/salles/4_1.rpy", line 162: Line with id 0f1c9ff0 appears twice. The other line is game/scenario/salles/4_0.rpy:162

File "game/scenario/salles/4_1.rpy", line 166: Line with id 9e9fab1e appears twice. The other line is game/scenario/salles/4_0.rpy:166

File "game/scenario/salles/4_1.rpy", line 167: Line with id 39f4927a appears twice. The other line is game/scenario/salles/4_0.rpy:167

File "game/scenario/salles/4_1.rpy", line 168: Line with id 47f61dd3 appears twice. The other line is game/scenario/salles/4_0.rpy:168

File "game/scenario/salles/4_1.rpy", line 172: Line with id d04812c1 appears twice. The other line is game/scenario/salles/4_0.rpy:172

File "game/scenario/salles/4_1.rpy", line 173: Line with id 6a6c8657 appears twice. The other line is game/scenario/salles/4_0.rpy:173

File "game/scenario/salles/4_1.rpy", line 174: Line with id 9152dc6f appears twice. The other line is game/scenario/salles/4_0.rpy:174

File "game/scenario/salles/4_1.rpy", line 178: Line with id 3794d0dd_2 appears twice. The other line is game/scenario/salles/4_0.rpy:178

File "game/scenario/salles/4_1.rpy", line 179: Line with id a62c9ec9 appears twice. The other line is game/scenario/salles/4_0.rpy:179

File "game/scenario/salles/4_1.rpy", line 180: Line with id af3d3403 appears twice. The other line is game/scenario/salles/4_0.rpy:180

File "game/scenario/salles/4_1.rpy", line 182: Line with id cf349a4a appears twice. The other line is game/scenario/salles/4_0.rpy:182

File "game/scenario/salles/4_1.rpy", line 183: Line with id babdf1b8 appears twice. The other line is game/scenario/salles/4_0.rpy:183

File "game/scenario/salles/4_1.rpy", line 184: Line with id dcf559dc appears twice. The other line is game/scenario/salles/4_0.rpy:184

File "game/scenario/salles/4_1.rpy", line 190: Line with id 2f2d2e15 appears twice. The other line is game/scenario/salles/4_0.rpy:190

File "game/scenario/salles/4_1.rpy", line 191: Line with id d00f24e0 appears twice. The other line is game/scenario/salles/4_0.rpy:191

File "game/scenario/salles/4_1.rpy", line 192: Line with id 2a87ee30 appears twice. The other line is game/scenario/salles/4_0.rpy:192

File "game/scenario/salles/4_1.rpy", line 193: Line with id 2033b383 appears twice. The other line is game/scenario/salles/4_0.rpy:193

File "game/scenario/salles/4_1.rpy", line 195: Line with id da6523a5 appears twice. The other line is game/scenario/salles/4_0.rpy:195

File "game/scenario/salles/4_1.rpy", line 199: Line with id 6460d085 appears twice. The other line is game/scenario/salles/4_0.rpy:199

File "game/scenario/salles/4_1.rpy", line 200: Line with id 9a8a464d appears twice. The other line is game/scenario/salles/4_0.rpy:200

File "game/scenario/salles/4_1.rpy", line 215: Line with id 6a5ae725 appears twice. The other line is game/scenario/salles/4_0.rpy:215

File "game/scenario/salles/4_1.rpy", line 216: Line with id 799d3aa9 appears twice. The other line is game/scenario/salles/4_0.rpy:216

File "game/scenario/salles/4_1.rpy", line 230: Line with id 08791717 appears twice. The other line is game/scenario/salles/4_0.rpy:230

File "game/scenario/salles/4_1.rpy", line 240: Line with id dfbd71be appears twice. The other line is game/scenario/salles/4_0.rpy:240

File "game/scenario/salles/4_1.rpy", line 241: Line with id cfb3bd55 appears twice. The other line is game/scenario/salles/4_0.rpy:241

File "game/scenario/salles/4_1.rpy", line 244: Line with id 595a03da appears twice. The other line is game/scenario/salles/4_0.rpy:244

File "game/scenario/salles/4_1.rpy", line 245: Line with id 7e555d21 appears twice. The other line is game/scenario/salles/4_0.rpy:245

File "game/scenario/salles/4_1.rpy", line 249: Line with id ff2688ab appears twice. The other line is game/scenario/salles/4_0.rpy:249

File "game/scenario/salles/4_1.rpy", line 250: Line with id 1e9d5c24 appears twice. The other line is game/scenario/salles/4_0.rpy:250

File "game/scenario/salles/4_1.rpy", line 258: Line with id 03cefaa9 appears twice. The other line is game/scenario/salles/4_0.rpy:258

File "game/scenario/salles/4_1.rpy", line 259: Line with id 3ab3a71c appears twice. The other line is game/scenario/salles/4_0.rpy:259

File "game/scenario/salles/4_1.rpy", line 262: Line with id b374d213 appears twice. The other line is game/scenario/salles/4_0.rpy:262

File "game/scenario/salles/4_1.rpy", line 263: Line with id 4ecb954c appears twice. The other line is game/scenario/salles/4_0.rpy:263

File "game/scenario/salles/4_1.rpy", line 264: Line with id 0170e833 appears twice. The other line is game/scenario/salles/4_0.rpy:264

File "game/scenario/salles/4_1.rpy", line 267: Line with id 9fcc3ab5 appears twice. The other line is game/scenario/salles/4_0.rpy:267

File "game/scenario/salles/4_1.rpy", line 270: Line with id cbcc59ea appears twice. The other line is game/scenario/salles/4_0.rpy:270

File "game/scenario/salles/4_1.rpy", line 271: Line with id 4cf4551d appears twice. The other line is game/scenario/salles/4_0.rpy:271

File "game/scenario/salles/4_1.rpy", line 275: Line with id 183dfabb appears twice. The other line is game/scenario/salles/4_0.rpy:275

File "game/scenario/salles/4_1.rpy", line 276: Line with id d6a89207 appears twice. The other line is game/scenario/salles/4_0.rpy:276

File "game/scenario/salles/4_1.rpy", line 280: Line with id cf719056 appears twice. The other line is game/scenario/salles/4_0.rpy:280

File "game/scenario/salles/4_1.rpy", line 281: Line with id 001923ea appears twice. The other line is game/scenario/salles/4_0.rpy:281

File "game/scenario/salles/4_1.rpy", line 285: Line with id e5502a8e appears twice. The other line is game/scenario/salles/4_0.rpy:285

File "game/scenario/salles/4_1.rpy", line 286: Line with id d3aba6ee appears twice. The other line is game/scenario/salles/4_0.rpy:286

File "game/scenario/salles/4_1.rpy", line 290: Line with id 84bc3bcf appears twice. The other line is game/scenario/salles/4_0.rpy:290

